Date,Open,Close,High,Low,Volume
2016-10-14,104.27,101.85,104.70,101.03,12785695
2016-10-17,101.50,102.84,103.47,101.27,10350118
2016-10-18,104.47,103.34,104.99,103.31,11087853
2016-10-19,104.33,103.93,104.80,103.65,8912399
2016-10-20,104.20,103.85,104.74,103.57,7104482
2016-10-21,103.70,103.94,103.94,102.75,8069429
2016-10-24,104.98,104.50,105.30,103.55,10896748
2016-10-25,104.86,104.22,105.20,104.02,8984158
2016-10-26,103.68,102.78,104.00,102.70,7579156
2016-10-27,103.38,102.38,104.11,101.85,8805942
2016-10-28,102.35,101.93,103.05,101.55,8477541
2016-10-31,102.65,101.69,103.21,101.42,15836933
2016-11-01,100.43,101.15,101.24,99.21,21268929
2016-11-02,103.85,98.51,104.10,97.30,37054067
2016-11-03,98.04,97.75,99.30,96.46,17410292
2016-11-04,96.90,97.57,98.79,96.67,9046829
2016-11-07,100.07,99.35,100.62,99.16,11196183
2016-11-08,99.39,99.85,99.99,98.36,8080970
2016-11-09,97.38,96.67,98.58,95.80,20937303
2016-11-10,98.34,94.34,98.50,92.22,27341227
2016-11-11,93.86,92.99,94.09,91.10,23716977
2016-11-14,92.45,89.77,92.54,87.88,27346246
2016-11-15,91.00,91.00,93.49,90.75,16720543
2016-11-16,91.39,92.86,93.68,91.33,14077985
2016-11-17,94.71,94.07,94.98,93.64,10379424
2016-11-18,94.85,93.39,95.30,92.67,10031921
2016-11-21,94.05,93.41,94.66,93.00,8958460
2016-11-22,94.24,93.21,94.42,93.16,10403494
2016-11-23,92.53,93.03,93.40,91.45,11741987
2016-11-25,93.55,93.01,93.75,92.77,4868511
2016-11-28,93.02,93.76,95.74,93.00,14336925
2016-11-29,93.67,94.99,96.06,93.39,14143845
2016-11-30,95.28,94.02,95.48,93.30,11447142
2016-12-01,94.00,89.86,94.06,89.18,24029255
2016-12-02,90.38,90.48,91.74,89.95,11712327
2016-12-05,90.05,90.99,91.40,89.57,8900846
2016-12-06,91.56,90.40,91.93,89.96,7787214
2016-12-07,90.52,91.07,91.65,89.50,13237657
2016-12-08,91.80,92.31,93.08,91.03,10918549
2016-12-09,92.51,93.28,93.64,92.28,9176649
2016-12-12,92.05,92.47,92.89,91.70,9355056
2016-12-13,92.80,92.16,93.73,91.87,10486934
2016-12-14,91.83,91.19,92.26,90.83,9152831
2016-12-15,90.00,88.85,90.60,88.74,19197250
2016-12-16,89.00,88.67,90.10,88.56,11340700
2016-12-19,88.61,88.93,89.82,88.41,10220670
2016-12-20,89.19,89.84,90.31,88.94,8434149
2016-12-21,89.96,89.25,90.43,89.25,9035260
2016-12-22,87.89,86.80,88.26,86.01,14402019
2016-12-23,86.62,86.79,87.68,86.62,6359213
2016-12-27,86.72,87.54,87.94,86.71,5227540
2016-12-28,88.30,87.37,88.75,87.22,6420059
2016-12-29,87.82,87.33,88.20,87.16,5465901
2016-12-30,87.57,87.81,88.10,87.20,7210118
2017-01-03,89.00,88.60,89.00,88.08,8789013
2017-01-04,88.99,90.51,90.89,88.58,11489724
2017-01-05,91.91,94.37,94.81,91.64,16816988
2017-01-06,94.40,93.89,94.50,93.00,7638216
2017-01-09,94.16,94.72,95.65,93.31,10825717
2017-01-10,96.40,96.75,97.90,95.55,14776962
2017-01-11,96.92,96.94,97.45,95.60,8730238
2017-01-12,96.85,95.90,96.85,94.80,8421616
2017-01-13,95.95,96.27,97.38,95.76,10699709
2017-01-17,96.32,96.12,96.59,95.00,6341944
2017-01-18,96.27,96.00,96.27,95.26,6607125
2017-01-19,96.42,96.17,96.70,95.58,7087780
2017-01-20,96.45,96.06,97.15,95.67,9678904
2017-01-23,96.48,98.41,98.67,96.26,14072077
2017-01-24,103.15,101.43,103.19,99.94,37173723
2017-01-25,102.46,104.06,104.27,101.90,23316527
2017-01-26,103.92,102.75,104.57,102.17,12502173
2017-01-27,102.25,102.07,102.70,101.29,8029740
2017-01-30,101.20,101.02,101.46,100.09,8618627
2017-01-31,100.24,101.31,102.09,100.06,7529383
2017-02-01,102.07,101.57,102.38,100.87,5735378
2017-02-02,101.28,100.84,101.47,100.56,5369995
2017-02-03,101.50,100.39,101.56,100.30,6196352
2017-02-06,100.17,100.90,101.71,100.02,6865582
2017-02-07,101.04,100.83,101.60,100.50,5655088
2017-02-08,101.55,103.57,103.99,101.16,10176865
2017-02-09,103.33,103.34,104.18,102.56,8428702
2017-02-10,103.88,102.36,103.94,102.31,7680112
2017-02-13,102.82,103.10,104.44,102.62,9724181
2017-02-14,103.14,101.59,103.60,100.90,10239860
2017-02-15,102.06,101.55,102.13,100.11,12381790
2017-02-16,101.86,100.82,102.10,100.50,7462539
2017-02-17,100.69,100.52,101.73,100.30,8256514
2017-02-21,101.03,102.12,102.54,100.91,8187899
2017-02-22,102.48,104.20,105.20,102.42,15778842
2017-02-23,104.72,102.46,104.86,101.82,10095258
2017-02-24,101.39,102.95,103.00,101.30,7356392
2017-02-27,102.50,103.60,103.83,102.22,6865650
2017-02-28,103.89,102.90,103.99,102.03,8014728
2017-03-01,103.68,104.04,104.99,103.21,10331088
2017-03-02,103.80,103.19,104.58,102.77,7981506
2017-03-03,102.99,103.31,103.42,102.44,6320211
2017-03-06,102.76,102.31,103.25,102.10,6289255
2017-03-07,102.30,102.63,103.31,102.11,4984972
2017-03-08,102.63,103.22,104.29,102.54,7065357
2017-03-09,102.97,103.24,103.75,102.76,4522629
2017-03-10,103.43,103.39,103.70,102.63,4119480
2017-03-13,103.52,105.18,106.25,103.47,16113249
2017-03-14,104.61,104.25,106.00,103.82,7747469
2017-03-15,104.37,103.69,104.49,102.60,11694769
2017-03-16,105.25,105.63,105.65,104.30,12442677
2017-03-17,105.17,105.61,106.50,104.86,8776535
2017-03-20,106.23,107.25,108.20,105.94,12447321
2017-03-21,108.46,105.09,108.70,104.70,13874580
2017-03-22,104.64,106.09,106.12,103.98,7151985
2017-03-23,106.95,108.25,108.83,106.44,13410143
2017-03-24,108.40,108.04,109.13,107.23,7577404
2017-03-27,106.65,108.08,108.19,106.51,7700626
2017-03-28,108.23,107.80,108.95,107.46,6469277
2017-03-29,107.97,109.51,109.74,107.69,8786726
2017-03-30,109.73,108.85,110.45,108.66,10590201
2017-03-31,108.50,107.83,109.12,107.78,9001134
2017-04-03,108.85,108.09,109.47,107.52,8390061
2017-04-04,107.87,107.52,108.26,106.88,6479163
2017-04-05,108.36,107.44,108.82,107.32,8199647
2017-04-06,107.59,108.04,108.42,107.15,5210843
2017-04-07,107.88,108.99,109.07,106.76,8352139
2017-04-10,109.00,111.70,111.88,108.84,14797779
2017-04-11,111.40,110.44,111.79,109.46,10011311
2017-04-12,110.50,110.63,111.70,110.31,8098670
2017-04-13,110.72,110.21,111.45,109.82,6856018
2017-04-17,110.91,111.76,111.87,110.30,7124816
2017-04-18,111.20,111.23,112.20,110.87,8304258
2017-04-19,111.99,110.76,112.20,110.57,9603207
2017-04-20,111.53,112.96,113.60,111.48,13773102
2017-04-21,112.80,113.11,113.17,112.30,8965358
2017-04-24,114.04,114.86,115.16,114.02,13382336
2017-04-25,115.54,115.48,115.82,114.80,11333042
2017-04-26,115.37,114.97,115.75,114.62,6675632
2017-04-27,115.00,115.43,115.96,114.83,9439595
2017-04-28,115.90,115.50,115.99,115.00,6984673
2017-05-01,115.63,116.68,117.24,115.50,7331383
2017-05-02,117.07,118.09,118.69,117.00,10047756
2017-05-03,117.95,116.57,118.00,115.12,10590212
2017-05-04,115.94,115.86,116.41,115.15,6977804
2017-05-05,116.05,116.04,116.15,114.80,7097296
2017-05-08,116.90,116.86,117.51,116.20,6461326
2017-05-09,118.62,120.00,120.00,118.07,15209986
2017-05-10,120.01,119.98,120.33,119.10,9344548
2017-05-11,120.13,120.16,120.50,118.25,11372828
2017-05-12,120.37,120.34,120.47,119.51,9820882
2017-05-15,121.03,121.40,121.49,120.03,11121635
2017-05-16,121.98,124.02,124.34,121.74,18193323
2017-05-17,123.25,120.72,123.89,120.50,19808839
2017-05-18,116.31,121.27,122.63,114.00,37111914
